Module                  Size  Used by
fuse                   83350  2 
thinkpad_acpi          59883  0 
nvram                  13076  1 thinkpad_acpi
pci_stub               12429  1 
vboxpci                18996  0 
vboxnetflt             23316  0 
vboxnetadp             25443  0 
vboxdrv               335930  3 vboxnetadp,vboxnetflt,vboxpci
acpi_call              12552  0 
rtsx_usb_sdmmc         21228  0 
mmc_core               98738  1 rtsx_usb_sdmmc
led_class              12859  2 rtsx_usb_sdmmc,thinkpad_acpi
kvm_amd                54995  0 
kvm                   378731  1 kvm_amd
serio_raw              12849  0 
pcspkr                 12595  0 
ideapad_laptop         17403  0 
radeon               1330917  3 
sparse_keymap          12818  1 ideapad_laptop
rfkill                 18867  2 ideapad_laptop,thinkpad_acpi
fbcon                  47298  72 
snd_hda_codec_realtek    58935  1 
bitblit                12617  1 fbcon
softcursor             12349  1 bitblit
font                   12388  1 fbcon
snd_hda_codec_generic    58997  1 snd_hda_codec_realtek
drm_kms_helper         41023  1 radeon
snd_hda_codec_hdmi     45117  1 
ttm                    65303  1 radeon
drm                   236329  6 ttm,drm_kms_helper,radeon
snd_hda_intel          26057  4 
snd_hda_controller     26457  1 snd_hda_intel
snd_hda_codec          94886  5 snd_hda_codec_realtek,snd_hda_codec_hdmi,snd_hda_codec_generic,snd_hda_intel,snd_hda_controller
cfbfillrect            12522  1 radeon
cfbimgblt              12351  1 radeon
cfbcopyarea            12350  1 radeon
snd_hwdep              13148  1 snd_hda_codec
snd_pcm                84507  4 snd_hda_codec_hdmi,snd_hda_codec,snd_hda_intel,snd_hda_controller
fb                     57549  5 fbcon,drm_kms_helper,radeon,softcursor,bitblit
fbdev                  12358  2 fb,fbcon
snd_timer              26614  1 snd_pcm
snd                    61148  16 snd_hda_codec_realtek,snd_hwdep,snd_timer,snd_hda_codec_hdmi,snd_pcm,snd_hda_codec_generic,snd_hda_codec,snd_hda_intel
soundcore              13031  2 snd,snd_hda_codec
shpchp                 35210  0 
i2c_piix4              16761  0 
rtsx_usb_ms            16856  0 
memstick               13696  1 rtsx_usb_ms
rtsx_usb               17487  2 rtsx_usb_sdmmc,rtsx_usb_ms
mfd_core               12601  1 rtsx_usb
autofs4                27337  2 
hid_generic            12393  0 
ohci_pci               12808  0 
